Day,Slot,Session,Paper ID,Organization,Municipality,Country,UTC,Time Zone,Contact Author,All Authors and Organizations,Primary Subject Area,Secondary Subject Areas
1,1,1,5,Kyoto University,Kyoto,Japan,9,JST (UTC +9),Go Shibata,Go Shibata ( Kyoto University)*; Ryo Nishikimi (Kyoto University); Kazuyoshi Yoshii (Kyoto University),"Musical features and properties -> Structure, segmentation, and form",
1,1,1,28,Keio University,Fujisawa,Japan,9,JST (UTC +9),Patrick E. Savage,Yuchen Yuan (Keio University); Sho Oishi (Keio University); Charles Cronin (George Washing University Law School); Daniel MÃƒÂ¼llensiefen (Goldsmiths); Quentin Atkinson (University of Auckland); Shinya Fujii (Keio University); Patrick E. Savage (Keio University)*,Domain knowledge -> Cognitive MIR,Applications -> Business and marketing; MIR tasks -> Similarity metrics; Musical features and properties -> Melody and motives; Philosophical and ethical discussions -> Legal and societal aspects of MIR
1,1,1,61,Universidade Federal de Campina Grande,Campina Grande,Brazil,-3,BRT (UTC -3),Felipe V FalcÃƒÂ£o,Felipe V FalcÃƒÂ£o (Universidade Federal de Campina Grande)*; Nazareno Andrade (Universidade Federal de Campina Grande); Flavio Figueiredo (UFMG); Diego Furtado Silva (Universidade Federal de SÃƒÂ£o Carlos); Fabio Morais (Universidade Federal de Campina Grande),"Evaluation, datasets, and reproducibility -> Evaluation metrics","Applications -> Music retrieval systems; Evaluation, datasets, and reproducibility -> Evaluation methodology; Evaluation, datasets, and reproducibility -> MIR tasks; Evaluation, datasets, and reproducibility -> Novel datasets and use cases; MIR tasks -> Similarity metrics"
1,1,1,95,Sony Computer Science Laboratories,Tokyo,Japan,9,JST (UTC +9),Taketo Akama,Taketo Akama (Sony CSL)*,Domain knowledge -> Machine learning/Artificial intelligence for music,"Applications -> Music composition, performance, and production"
1,1,1,142,"iZotope, Inc.",Cambridge,USA,-4,EDT (UTC-4),Shahan Nercessian,"Shahan Nercessian (iZotope, Inc.)*",MIR tasks -> Music synthesis and transformation,"Domain knowledge -> Machine learning/Artificial intelligence for music; Musical features and properties -> Timbre, instrumentation, and voice"
1,1,1,157,Academia Sinica,Taipei,Taiwan,8,CST(UTC+8),Yu-Fen Huang,"Yu-Fen Huang (Academia Sinica)*; Jeng-I Liang (Department of Traditional Music, Taipei National University of the Arts); I-CHIEH WEI (Institute of Information Science Academia Sinica); Li Su (Academia Sinica)",Domain knowledge -> Computational music theory and musicology,MIR tasks -> Automatic classification; Musical features and properties -> Expression and performative aspects of music
1,1,1,187,University of California San Diego,La Jolla,United States,8,Taipei Time (UTC +8),Hao-Wen Dong,"Hao-Wen Dong (University of California San Diego)*; Ke Chen (University of California San Diego); Julian McAuley (University of California, San Diego); Taylor Berg-Kirkpatrick (UCSD)",MIR fundamentals and methodology -> Symbolic music processing,"Applications -> Music composition, performance, and production; Domain knowledge -> Machine learning/Artificial intelligence for music; Domain knowledge -> Representations of music; Evaluation, datasets, and reproducibility -> Evaluation metrics; Evaluation, datasets, and reproducibility -> Reproducibility"
1,1,1,281,New York University,New York City,United States,8,CST (UTC +8),Yu Wang,Yu Wang (NYU)*; Justin Salamon (Adobe Research); Mark Cartwright (New York University); Nicholas J. Bryan (Adobe Research); Juan P Bello (New York University),MIR tasks -> Music transcription and annotation,Domain knowledge -> Machine learning/Artificial intelligence for music
1,1,1,326,Georgia Institute of Technology,Atlanta,United States,-4,EDT,Jason Smith,Jason Smith (Georgia Tech)*; Erin Truesdell (Georgia Tech); Jason Freeman (Georgia Institute of Technology); Brian Magerko (Georgia Institute of Technology); Kristy Boyer (University of Florida); Tom Mcklin (The Findings Group),Applications -> Music training and education,"Domain knowledge -> Representations of music; Human-centered MIR -> User behavior analysis and mining, user modeling; MIR fundamentals and methodology -> Multimodality; MIR fundamentals and methodology -> Symbolic music processing; Musical features and properties -> Structure, segmentation, and form"
1,1,1,362,The University of Hong Kong,Hong Kong,Hong Kong S. A. R.,8,HKT (UTC +8),Meijun Liu,Meijun Liu (HKU)*; Eva Zangerle (University of Innsbruck); Xiao Hu (The University of Hong Kong); Alessandro Melchiorre (Johannes Kepler University Linz); Markus Schedl (Johannes Kepler University Linz),Applications -> Music retrieval systems,"Applications -> Music and health, well-being, and therapy; Applications -> Music recommendation and playlist generation; Musical features and properties -> Musical affect, emotion, and mood"
